Bulan,Banyaknya,Pendapatan,Pendapatan
JANUARI,8850,26550000,4200000
FEBRUARI,5115,15345000,3080000
MARET,7355,22065000,3450000
APRIL,7327,21981000,4160000
MEI,4853,14559000,6565000
JUNI,19942,2835000,160930000
JULI,7655,22975000,9650000
AGUSTUS,6300,18900000,4335000
SEPTEMBER,7775,23325000,3690000
OKTOBER,8755,26365000,4180000
NOVEMBER,8755,26265000,3980000
DESEMBER,8490,25470000,49240000
